eve_rate,eve_bias,qber_mean,accept_prob
0.2,0.0,0.052083333333333336,0.9916666666666667
0.2,0.25,0.04401041666666667,1.0
0.2,0.5,0.04583333333333333,1.0
0.2,0.75,0.0546875,1.0
0.2,1.0,0.051041666666666666,1.0
0.4,0.0,0.10026041666666667,0.925
0.4,0.25,0.09895833333333333,0.925
0.4,0.5,0.09791666666666667,0.9083333333333333
0.4,0.75,0.0953125,0.925
0.4,1.0,0.10364583333333334,0.8833333333333333
0.6,0.0,0.14557291666666666,0.65
0.6,0.25,0.14869791666666668,0.6833333333333333
0.6,0.5,0.14296875,0.7
0.6,0.75,0.15078125,0.6583333333333333
0.6,1.0,0.15729166666666666,0.55
0.8,0.0,0.19921875,0.4
0.8,0.25,0.19505208333333332,0.39166666666666666
0.8,0.5,0.19192708333333333,0.43333333333333335
0.8,0.75,0.20625,0.35
0.8,1.0,0.20494791666666667,0.36666666666666664
1.0,0.0,0.2513020833333333,0.18333333333333332
1.0,0.25,0.2421875,0.2
1.0,0.5,0.246875,0.11666666666666667
1.0,0.75,0.253125,0.13333333333333333
1.0,1.0,0.24869791666666666,0.16666666666666666
